x,y
-0.994808,0.0219727
-0.982308,0.0402832
-0.969807,0.0521851
-0.957308,0.055542
-0.944807,0.0360107
-0.932309,0.0564575
-0.919807,0.0653076
-0.907308,0.0610352
-0.894807,0.0372314
-0.882308,0.0466919
-0.869807,0.0610352
-0.857308,0.0460815
-0.844808,0.0369263
-0.832309,0.0476074
-0.819807,0.0531006
-0.807308,0.0708008
-0.092749,0.0238037
-0.09175,0.0430298
-0.090749,0.0405884
-0.089749,0.0466919
-0.088749,0.0540161
-0.087749,0.0723267
-0.08675,0.0656128
-0.085749,0.0598145
-0.084749,0.0610352
-0.083748,0.0646973
-0.08275,0.0598145
-0.08175,0.0552368
-0.08075,0.0378418
-0.079751,0.0387573
-0.07875,0.0430298
-0.077751,0.0375366
-0.076748,0.0363159
-0.075749,0.0402832
-0.074751,0.0366211
-0.073749,0.0448608
-0.07275,0.0427246
-0.071751,0.0488281
-0.07075,0.0601196
-0.069751,0.06073
-0.068749,0.0585938
-0.067749,0.0671387
-0.066749,0.0558472
-0.06575,0.045166
-0.064749,0.0436401
-0.06375,0.0439453
-0.06275,0.0488281
-0.06175,0.0479126
-0.06075,0.0332642
-0.05975,0.0317383
-0.05875,0.0341797
-0.057749,0.038147
-0.05675,0.0460815
-0.05575,0.0482178
-0.054751,0.0457764
-0.053749,0.0488281
-0.05275,0.0537109
-0.051749,0.0592041
-0.050749,0.0497437
-0.049749,0.0592041
-0.048751,0.0494385
-0.04775,0.0469971
-0.046748,0.0463867
-0.04575,0.0463867
-0.044751,0.0411987
-0.043751,0.0354004
-0.042749,0.0363159
-0.04175,0.0323486
-0.04075,0.0436401
-0.03975,0.0476074
-0.038751,0.0509644
-0.037751,0.0439453
-0.03675,0.0509644
-0.035749,0.0549316
-0.03475,0.0759888
-0.033751,0.0515747
-0.03275,0.0650024
-0.03175,0.0546265
-0.03075,0.0408936
-0.02975,0.043335
-0.02875,0.0396729
-0.027749,0.039978
-0.026751,0.045166
-0.025749,0.0363159
-0.024749,0.0421143
-0.023749,0.050354
-0.022749,0.0466919
-0.021749,0.0524902
-0.02075,0.055542
-0.01975,0.0665283
-0.018749,0.0500488
-0.017749,0.0604248
-0.016751,0.0634766
-0.015749,0.0576782
-0.01475,0.0466919
-0.01375,0.0430298
-0.012749,0.0424194
-0.011749,0.038147
-0.010749,0.0357056
-0.009749,0.0350952
-0.00875,0.0323486
-0.007751,0.0424194
-0.006749,0.0482178
-0.005749,0.0442505
0.00025,0.0463867
0.000502,0.0479126
0.00075,0.0469971
0.001,0.0537109
0.001251,0.0552368
0.001501,0.0518799
0.001749,0.0527954
0.002,0.0582886
0.002251,0.0521851
0.0025,0.0579834
0.002749,0.0646973
0.002999,0.0588989
0.003251,0.0656128
0.003502,0.0567627
0.003749,0.0698853
0.004,0.0643921
0.00425,0.0457764
0.0045,0.055542
0.004751,0.0640869
0.005,0.0518799
0.005251,0.0512695
0.005502,0.0610352
0.005749,0.0469971
0.006,0.0512695
0.006251,0.0460815
0.006502,0.050354
0.00675,0.055542
0.007,0.0488281
0.007252,0.0576782
0.007502,0.0448608
0.007749,0.0512695
0.008,0.0363159
0.008252,0.0350952
0.0085,0.045166
0.008749,0.0421143
0.009,0.0531006
0.009251,0.0341797
0.0095,0.0442505
0.009751,0.0442505
0.01,0.03479
0.010249,0.0354004
0.0105,0.0366211
0.010751,0.0354004
0.011,0.0402832
0.011249,0.0402832
0.0115,0.057373
0.011751,0.0332642
0.012,0.0320435
0.012251,0.0341797
0.012502,0.0259399
0.01275,0.0415039
0.012999,0.0241089
0.013251,0.0299072
0.0135,0.0436401
0.013749,0.038147
0.014,0.0476074
0.014251,0.0479126
0.0145,0.0408936
0.014751,0.0482178
0.015,0.0402832
0.01525,0.0460815
0.0155,0.0457764
0.015751,0.0430298
0.016,0.0469971
0.016249,0.0534058
0.0165,0.0497437
0.016751,0.0482178
0.017,0.0561523
0.017249,0.0497437
0.0175,0.055542
0.017751,0.0640869
0.018,0.0439453
0.018249,0.0540161
0.0185,0.0604248
0.018751,0.0595093
0.019,0.0515747
0.019249,0.0543213
0.0195,0.0610352
0.019751,0.0473022
0.019999,0.0726318
0.020249,0.0616455
0.0205,0.0665283
0.020751,0.055542
0.021,0.0595093
0.02125,0.055542
0.021501,0.0622559
0.021749,0.0546265
0.022,0.0558472
0.02225,0.0552368
0.0225,0.0540161
0.022751,0.0546265
0.023001,0.0378418
0.023249,0.0546265
0.0235,0.0509644
0.02375,0.0479126
0.023999,0.0512695
0.024251,0.0512695
0.024501,0.057373
0.02475,0.0421143
0.025,0.0384521
0.02525,0.0442505
0.0255,0.0341797
0.025752,0.039978
0.026,0.0341797
0.026249,0.0418091
0.0265,0.0427246
0.026751,0.0469971
0.027,0.0418091
0.027251,0.0323486
0.027502,0.0396729
0.02775,0.0335693
0.028,0.0442505
0.028251,0.043335
0.0285,0.0366211
0.028751,0.0317383
0.029,0.0402832
0.02925,0.0387573
0.0295,0.045166
0.029751,0.0299072
0.03,0.0335693
0.03025,0.0473022
0.0305,0.0320435
0.030751,0.0445557
0.031,0.045166
0.03125,0.0341797
0.0315,0.0463867
0.031751,0.0488281
0.031999,0.0476074
0.032251,0.0448608
0.0325,0.0439453
0.032749,0.0558472
0.033,0.0463867
0.03325,0.0537109
0.0335,0.0534058
0.03375,0.0527954
0.034001,0.0457764
0.034249,0.0628662
0.0345,0.0570679
0.03475,0.0479126
0.035001,0.06073
0.03525,0.0570679
0.0355,0.0558472
0.035751,0.0585938
0.036,0.0704956
0.03625,0.0561523
0.0365,0.0527954
0.036751,0.0628662
0.037,0.0616455
0.03725,0.0650024
0.0375,0.0640869
0.037751,0.0582886
0.038,0.0540161
0.038251,0.062561
0.0385,0.0552368
0.03875,0.055542
0.039,0.0512695
0.039251,0.0497437
0.039501,0.039978
0.03975,0.0463867
0.04,0.0457764
0.040251,0.0482178
0.040504,0.0531006
0.04075,0.0549316
0.041,0.038147
0.041251,0.03479
