t(s),incident,permeation
1.0,0.0,0.0
2.0,1.853826283784656e+16,31133114722289.574
3.0,2.84803249088001e+16,50099686839393.76
4.0,3.584525343314433e+16,68173106221581.39
5.0,4.279086410274396e+16,90820215901881.86
6.0,4.851077813211304e+16,118402555375623.53
7.0,5.2384116645603e+16,150892780178859.38
8.0,5.9867108210171656e+16,201333848307621.3
9.0,5.822561748202023e+16,244118577306708.66
10.0,5.558985283046851e+16,290813488901870.2
11.0,5.259100325616094e+16,340997530285117.2
12.0,4.95977554909168e+16,394076329178016.3
13.0,5.303982188984933e+16,468289932825738.44
14.0,4.738871825263809e+16,525734881762806.06
15.0,4.317461095805674e+16,583902917886536.4
16.0,3.977230073778241e+16,641876369441694.5
17.0,3.678362425885937e+16,698716641564049.1
18.0,3.898201980367699e+16,771118288788497.8
19.0,3.3005909362662336e+16,821697449436636.4
20.0,2.45692448585765e+16,853389326150467.2
21.0,0.0,809767430189746.0
22.0,0.0,806404167586066.0
23.0,0.0,803304183468665.8
24.0,0.0,800223058102056.2
25.0,0.0,797159619543665.4
26.0,0.0,794113726994738.6
27.0,0.0,791085246558421.5
28.0,0.0,788074047098619.5
29.0,0.0,785079996098857.9
30.0,0.0,782102963803422.1
31.0,0.0,779142823217357.2
32.0,0.0,776199445965328.4
33.0,0.0,773272706432761.0
34.0,0.0,770362477624700.0
35.0,0.0,767468636687330.5
36.0,0.0,764591059386457.5
37.0,0.0,761729627009406.0
38.0,0.0,758884218082740.8
39.0,0.0,756054712513406.8
40.0,0.0,753240991588728.9
41.0,0.0,750442940737171.8
42.0,0.0,747660439865680.2
43.0,0.0,744893378543859.0
44.0,0.0,742141638059032.6
45.0,0.0,739405110741565.8
46.0,0.0,736683679259163.0
47.0,0.0,733977237322568.9
48.0,0.0,731285673121007.8
49.0,0.0,728608877604464.1
50.0,0.0,725946744483682.4
51.0,0.0,723299163328267.0
52.0,0.0,720666033370482.1
53.0,0.0,718047246940692.1
54.0,0.0,715442699130021.2
55.0,0.0,712852289170733.6
56.0,0.0,710275913534333.6
57.0,0.0,707713471453085.1
58.0,0.0,705164862159252.4
59.0,0.0,702629987645859.2
60.0,0.0,700108748525549.9
61.0,0.0,697601046791348.4
62.0,0.0,695106786506848.5
63.0,0.0,692625872425834.2
64.0,0.0,690158208611899.4
65.0,0.0,687703700509017.8
66.0,0.0,685262254941543.4
67.0,0.0,682833780804399.9
68.0,0.0,680418184921941.0
69.0,0.0,678015376879280.5
70.0,0.0,675625266951721.9
71.0,0.0,673247765414569.0
72.0,0.0,670882783923505.4
73.0,0.0,668530235514594.5
74.0,0.0,666190031843520.1
75.0,0.0,663862087326725.5
76.0,0.0,661546317070844.4
77.0,0.0,659242634802130.2
78.0,0.0,656950959078166.1
79.0,0.0,654671204315395.8
80.0,0.0,652403289071402.4
81.0,0.0,650147131903769.4
82.0,0.0,647902650679890.1
83.0,0.0,645669766027917.8
84.0,0.0,643448397195625.6
85.0,0.0,641238466191546.9
86.0,0.0,639039894334024.8
87.0,0.0,636852602941402.5
88.0,0.0,634676516782973.1
89.0,0.0,632511557867269.9
90.0,0.0,630357650963585.8
91.0,0.0,628214721531403.8
92.0,0.0,626082695720396.9
93.0,0.0,623961497609668.5
94.0,0.0,621851055419461.1
95.0,0.0,619751297370018.1
96.0,0.0,617662149611012.2
97.0,0.0,615583541743066.4
98.0,0.0,613515402676613.4
99.0,0.0,611457663392656.1
100.0,0.0,609410253491817.6
101.0,0.0,607373103264910.6
102.0,0.0,605346145073317.8
103.0,0.0,603329311968611.8
104.0,0.0,601322534931795.6
105.0,0.0,599325748394822.0
106.0,0.0,597338885409263.4
107.0,0.0,595361881097262.9
108.0,0.0,593394669890772.6
109.0,0.0,591437186911935.6
110.0,0.0,589489369353464.2
111.0,0.0,587551152337501.4
112.0,0.0,585622474437139.2
113.0,0.0,583703272154900.8
114.0,0.0,581793483373688.0
115.0,0.0,579893046666593.9
116.0,0.0,578001901987090.6
117.0,0.0,576119987908270.9
118.0,0.0,574247245073797.0
119.0,0.0,572383613437141.5
120.0,0.0,570529034332156.6
121.0,0.0,568683449782884.9
122.0,0.0,566846800432988.6
123.0,0.0,565019029686890.1
124.0,0.0,563200081639201.8
125.0,0.0,561389896933585.9
126.0,0.0,559588420354844.8
127.0,0.0,557795598068160.75
128.0,0.0,556011372097575.9
129.0,0.0,554235688608272.6
130.0,0.0,552468493765433.0
131.0,0.0,550709733044049.4
132.0,0.0,548959353299493.8
133.0,0.0,547217300006758.6
134.0,0.0,545483522781975.9
135.0,0.0,543757966409947.75
136.0,0.0,542040581887186.2
137.0,0.0,540331316069063.44
138.0,0.0,538630117881521.6
139.0,0.0,536936936940692.75
140.0,0.0,535251723552898.8
141.0,0.0,533574426644082.06
142.0,0.0,531904997900944.25
143.0,0.0,530243387629807.44
144.0,0.0,528589546827183.75
145.0,0.0,526943427869965.0
146.0,0.0,525304982444853.25
147.0,0.0,523674162238550.44
148.0,0.0,522050921698518.44
149.0,0.0,520435211821269.3
150.0,0.0,518826988434644.7
151.0,0.0,517226203225346.6
152.0,0.0,515632812021216.94
153.0,0.0,514046767889337.56
154.0,0.0,512468028037930.2
155.0,0.0,510896544843886.8
156.0,0.0,509332275515429.1
157.0,0.0,507775176570589.06
158.0,0.0,506225202456828.25
159.0,0.0,504682311072558.5
160.0,0.0,503146459626001.56
161.0,0.0,501617603944999.25
162.0,0.0,500095703308343.2
163.0,0.0,498580714234065.2
164.0,0.0,497072596000956.94
165.0,0.0,495571306507430.1
166.0,0.0,494076805032276.4
167.0,0.0,492589049473907.44
168.0,0.0,491108000491494.94
169.0,0.0,489633618744210.4
170.0,0.0,488165862820655.56
171.0,0.0,486704692689812.1
172.0,0.0,485250069701041.56
173.0,0.0,483801955893895.5
174.0,0.0,482360310547165.6
175.0,0.0,480925097080783.3
176.0,0.0,479496276153920.2
177.0,0.0,478073809806127.8
178.0,0.0,476657660767147.8
179.0,0.0,475247792456911.56
180.0,0.0,473844166224780.6
181.0,0.0,472446746180876.56
182.0,0.0,471055495745130.8
183.0,0.0,469670379027664.94
184.0,0.0,468291358758220.3
185.0,0.0,466918400427298.3
186.0,0.0,465551468835210.5
187.0,0.0,464190528092078.3
188.0,0.0,462835542998213.2
189.0,0.0,461486479044116.5
190.0,0.0,460143302410479.6
191.0,0.0,458805977897614.06
192.0,0.0,457474472376401.2
193.0,0.0,456148752027532.2
194.0,0.0,454828783721888.6
195.0,0.0,453514532949971.75
196.0,0.0,452205967963042.94
197.0,0.0,450903055631983.56
198.0,0.0,449605763517864.94
199.0,0.0,448314059181758.3
200.0,0.0,447027910874925.06
201.0,0.0,445747286848626.56
202.0,0.0,444472155354123.9
203.0,0.0,443202484642678.44
204.0,0.0,441938243655741.5
205.0,0.0,440679402024954.3
206.0,0.0,439425929381958.06
207.0,0.0,438177793978014.1
208.0,0.0,436934966825143.6
209.0,0.0,435697416864797.9
210.0,0.0,434465115108998.06
211.0,0.0,433238031189385.44
212.0,0.0,432016136117981.06
213.0,0.0,430799400906806.2
214.0,0.0,429587796567882.0
215.0,0.0,428381292732849.75
216.0,0.0,427179863174490.5
217.0,0.0,425983478214635.44
218.0,0.0,424792109555495.8
219.0,0.0,423605730279662.6
220.0,0.0,422424311399157.06
221.0,0.0,421247825996570.25
222.0,0.0,420076245774113.44
223.0,0.0,418909544504567.5
224.0,0.0,417747694580333.6
225.0,0.0,416590669084003.0
226.0,0.0,415438441788356.56
227.0,0.0,414290986466175.56
228.0,0.0,413148275509860.94
229.0,0.0,412010284762763.8
230.0,0.0,410876985927095.3
231.0,0.0,409748355536396.3
232.0,0.0,408624366673257.94
233.0,0.0,407504993800651.3
234.0,0.0,406390212761927.4
235.0,0.0,405279997329867.1
236.0,0.0,404174323347821.75
237.0,0.0,403073165278762.06
238.0,0.0,401976499656229.06
239.0,0.0,400884301633383.9
240.0,0.0,399796545673197.5
241.0,0.0,398713211069970.75
242.0,0.0,397634270216104.75
243.0,0.0,396559701715710.4
244.0,0.0,395489480721948.6
245.0,0.0,394423584458550.5
246.0,0.0,393361990149246.8
247.0,0.0,392304673637388.75
248.0,0.0,391251612146707.0
249.0,0.0,390202782900932.6
250.0,0.0,389158165194366.44
251.0,0.0,388117732799789.5
252.0,0.0,387081467082072.6
253.0,0.0,386049343194376.8
254.0,0.0,385021340431002.9
255.0,0.0,383997436015681.75
256.0,0.0,382977609932904.2
257.0,0.0,381961838026021.3
258.0,0.0,380950100969713.8
259.0,0.0,379942375987712.7
260.0,0.0,378938643064508.6
261.0,0.0,377938880804212.6
262.0,0.0,376943067810935.56
263.0,0.0,375951184069168.1
264.0,0.0,374963208183021.3
265.0,0.0,373979119446795.94
266.0,0.0,372998898535172.8
267.0,0.0,372022524742452.75
268.0,0.0,371049978053126.5
269.0,0.0,370081238451685.0
270.0,0.0,369116285232429.0
271.0,0.0,368155100450419.25
272.0,0.0,367197663399956.7
273.0,0.0,366243954065532.06
274.0,0.0,365293954502206.06
275.0,0.0,364347644694469.5
276.0,0.0,363405005317003.25
277.0,0.0,362466018424868.0
278.0,0.0,361530664692744.56
279.0,0.0,360598924795313.7
280.0,0.0,359670780787636.1
281.0,0.0,358746214034582.6
282.0,0.0,357825206591213.94
283.0,0.0,356907739132210.8
284.0,0.0,355993794402824.0
285.0,0.0,355083355148304.2
286.0,0.0,354176401353142.25
287.0,0.0,353272917142968.7
288.0,0.0,352372883192464.44
289.0,0.0,351476284317450.0
290.0,0.0,350583100502416.25
291.0,0.0,349693316563183.8
292.0,0.0,348806913864623.5
293.0,0.0,347923875842175.94
294.0,0.0,347044184550901.75
295.0,0.0,346167825496811.7
296.0,0.0,345294779354586.5
297.0,0.0,344425030249856.75
298.0,0.0,343558562308253.2
299.0,0.0,342695358275026.5
300.0,0.0,341835402275807.3
301.0,0.0,340978678436226.25
302.0,0.0,340125168811344.06
303.0,0.0,339274858907171.4
304.0,0.0,338427732159148.8
305.0,0.0,337583773383097.0
306.0,0.0,336742965324266.6
307.0,0.0,335905294178858.4
308.0,0.0,335070742692122.9
309.0,0.0,334239297060260.56
310.0,0.0,333410941408902.25
311.0,0.0,332585659173488.56
312.0,0.0,331763435860030.1
313.0,0.0,330944257664727.44
314.0,0.0,330128108023021.2
315.0,0.0,329314972440922.06
316.0,0.0,328504835734250.5
317.0,0.0,327697684099207.2
318.0,0.0,326893501661422.8
319.0,0.0,326092275997477.75
320.0,0.0,325293990542812.75
321.0,0.0,324498630803438.44
322.0,0.0,323706184355935.25
323.0,0.0,322916636016123.9
324.0,0.0,322129971980204.8
325.0,0.0,321346177063998.75
326.0,0.0,320565238153896.1
327.0,0.0,319787141446097.56
328.0,0.0,319011873826993.56
329.0,0.0,318239420112404.8
330.0,0.0,317469767878911.8
331.0,0.0,316702903322715.06
332.0,0.0,315938812640015.2
333.0,0.0,315177482027012.6
334.0,0.0,314418899750478.0
335.0,0.0,313663052006611.9
336.0,0.0,312909924991614.7
337.0,0.0,312159506282067.06
338.0,0.0,311411782764359.44
339.0,0.0,310666741324882.5
340.0,0.0,309924369540216.56
341.0,0.0,309184654296752.3
342.0,0.0,308447583171070.2
343.0,0.0,307713143739750.7
344.0,0.0,306981322889184.3
345.0,0.0,306252108886141.7
346.0,0.0,305525488617013.2
347.0,0.0,304801451038759.4
348.0,0.0,304079982347580.8
349.0,0.0,303361071500437.8
350.0,0.0,302644706073911.0
351.0,0.0,301930874334770.9
352.0,0.0,301219564549787.8
353.0,0.0,300510763605352.44
354.0,0.0,299804460458425.1
355.0,0.0,299100644065966.44
356.0,0.0,298399302004556.75
357.0,0.0,297700422540966.7
358.0,0.0,297003995322346.5
359.0,0.0,296310007925276.8
360.0,0.0,295618448616528.06
361.0,0.0,294929307043250.75
362.0,0.0,294242570782025.25
363.0,0.0,293558230170192.0
364.0,0.0,292876273474521.56
365.0,0.0,292196688271594.4
366.0,0.0,291519465588940.8
367.0,0.0,290844593693331.3
368.0,0.0,290172060851536.44
369.0,0.0,289501858781276.44
370.0,0.0,288833973678751.94
371.0,0.0,288168396571493.3
372.0,0.0,287505116416460.94
373.0,0.0,286844122860805.3
374.0,0.0,286185404861486.9
375.0,0.0,285528953446036.0
376.0,0.0,284874756191033.1
377.0,0.0,284222804814198.6
378.0,0.0,283573087582303.0
379.0,0.0,282925594832686.6
380.0,0.0,282280316212499.94
381.0,0.0,281637242059083.3
382.0,0.0,280996362019587.16
383.0,0.0,280357665741161.97
384.0,0.0,279721144251338.03
385.0,0.0,279086787197265.84
386.0,0.0,278454584226095.72
387.0,0.0,277824526365358.12
388.0,0.0,277196604642583.38
389.0,0.0,276570807324541.97
390.0,0.0,275947126819144.2
391.0,0.0,275325552773540.5
392.0,0.0,274706075525071.28
393.0,0.0,274088685411076.9
394.0,0.0,273473374149277.72
395.0,0.0,272860131386824.2
396.0,0.0,272248948841436.6
397.0,0.0,271639815470075.4
398.0,0.0,271032724370840.88
399.0,0.0,270427665190883.5
400.0,0.0,269824629647923.53
401.0,0.0,269223607389111.47
402.0,0.0,268624590132167.6
403.0,0.0,268027570285002.25
404.0,0.0,267432536804575.84
405.0,0.0,266839482098798.78
406.0,0.0,266248397885391.3
407.0,0.0,265659273121313.88
408.0,0.0,265072102285046.75
409.0,0.0,264486875023740.34
410.0,0.0,263903582364925.0
411.0,0.0,263322217406701.03
412.0,0.0,262742769796218.84
413.0,0.0,262165232631578.72
414.0,0.0,261589596250121.06
415.0,0.0,261015853749946.12
416.0,0.0,260443995468394.4
417.0,0.0,259874013813376.06
418.0,0.0,259305901192801.47
419.0,0.0,258739647944011.03
420.0,0.0,258175247165105.03
421.0,0.0,257612690573803.78
422.0,0.0,257051969887827.66
423.0,0.0,256493076824896.97
424.0,0.0,255936004483112.0
425.0,0.0,255380743890003.16
426.0,0.0,254827288143670.66
427.0,0.0,254275628271644.94
428.0,0.0,253725758062216.2
429.0,0.0,253177668542914.78
430.0,0.0,252631352121651.06
431.0,0.0,252086801896525.28
432.0,0.0,251544009585257.78
433.0,0.0,251002968285948.84
434.0,0.0,250463669716318.84
435.0,0.0,249926106284278.03
436.0,0.0,249390271778116.72
437.0,0.0,248856157225365.22
438.0,0.0,248323757104503.78
439.0,0.0,247793062443062.8
440.0,0.0,247264066339142.53
441.0,0.0,246736761890843.22
442.0,0.0,246211142196265.22
443.0,0.0,245687199663318.75
444.0,0.0,245164926699914.2
445.0,0.0,244644317784531.75
446.0,0.0,244125363254511.84
447.0,0.0,243608058968714.6
448.0,0.0,243092395264480.44
449.0,0.0,242578368000669.5
450.0,0.0,242065968204812.2
451.0,0.0,241555189665198.78
452.0,0.0,241046025479929.47
453.0,0.0,240538469437294.56
454.0,0.0,240032513255014.38
455.0,0.0,239528152101759.12
456.0,0.0,239025377005059.2
457.0,0.0,238524183823774.72
458.0,0.0,238024564965816.0
459.0,0.0,237526512839093.4
460.0,0.0,237030022612277.06
461.0,0.0,236535086693277.34
462.0,0.0,236041698870384.44
463.0,0.0,235549852241698.7
464.0,0.0,235059541285700.34
465.0,0.0,234570758410299.6
466.0,0.0,234083498784166.72
467.0,0.0,233597754815212.0
468.0,0.0,233113520981915.7
