t(s),incident,permeation
1.0,0.0,677323693336336.8
2.0,3014011228407797.0,684056905794334.1
3.0,7261390665204930.0,700639493570858.9
4.0,1.3157135736923724e+16,730925730078221.1
5.0,1.5387600731877838e+16,759611838437138.5
6.0,1.759351567116645e+16,792771776828681.6
7.0,1.956769776768669e+16,829854922046162.8
8.0,2.1196253762333836e+16,870183892663234.5
9.0,2.662244315323209e+16,928652064798121.2
10.0,2.552695147806361e+16,975188570892844.6
11.0,2.527704329081661e+16,1023456644914251.1
12.0,2.529247887029218e+16,1073103747487381.8
13.0,2.536078299186817e+16,1123868376674944.5
14.0,2.9728171355401852e+16,1192856896450627.2
15.0,2.7100571796457524e+16,1245271986580521.2
16.0,2.5912284684300132e+16,1297969975917215.0
17.0,2.5257753226850136e+16,1350691729875019.5
18.0,2.4783719846156716e+16,1403192428408261.5
19.0,2.8359512189981036e+16,1472399775675277.2
20.0,2.5294852782285556e+16,1523404555083163.2
21.0,2.3780662827978884e+16,1573343620437803.8
22.0,2.2881077831338292e+16,1622265511419538.5
23.0,2.204341534440077e+16,1669306257884272.2
24.0,2.1205178642944176e+16,1714248767478260.8
25.0,2.3511499674572156e+16,1771285322726708.5
26.0,2.0540532454179184e+16,1811290307127956.8
27.0,1.9005233667962772e+16,1849182864352639.0
28.0,1.7906018688288446e+16,1884577862874945.8
29.0,1.7161352302706106e+16,1918327977189893.8
30.0,1.8960243549146784e+16,1961766394428879.5
31.0,1.702387617594079e+16,1993158099241675.5
32.0,1.6280864453590012e+16,2024124865131846.5
33.0,1.6072912788061778e+16,2055278887843658.5
34.0,1.6058445035772298e+16,2086652196332944.8
35.0,1.8430018127603196e+16,2129451554253580.8
36.0,1.7125125312033024e+16,2162026705725019.5
37.0,1.6811659492431972e+16,2195110373983534.0
38.0,1.6775157356242774e+16,2228465540890893.2
39.0,1.696793538379357e+16,2262755492813839.0
40.0,1.9427737793404588e+16,2308860747508455.0
41.0,1.7941478226192962e+16,2343500872835135.5
42.0,1.7566630149724238e+16,2378569542636855.0
43.0,1.7508819988256284e+16,2413874192531087.5
44.0,1.738389534693533e+16,2448538811319489.0
45.0,1.9303223881307016e+16,2493073268178703.5
46.0,1.7433123447829674e+16,2524819069435034.5
47.0,1.6524223109829676e+16,2554783069358152.0
48.0,1.5814304998662658e+16,2582437032433484.5
49.0,1.5156130442409896e+16,2607696849350303.0
50.0,1.4422120257281688e+16,2630068864492005.5
51.0,1.5012042412632114e+16,2656566745560698.5
52.0,1.347019904575069e+16,2673898133551287.5
53.0,1.2737243291123402e+16,2689746514490513.0
54.0,1.2327607734081094e+16,2704518820244636.0
55.0,1.2087150285390776e+16,2718574747458622.5
56.0,1.279464082989751e+16,2736632563155337.5
57.0,1.2063582231507176e+16,2749550622476042.0
58.0,1.1892003626482778e+16,2762622616246547.0
59.0,1.1785752968908654e+16,2775302569689624.5
60.0,1.1633895959899058e+16,2787238888990578.0
61.0,0.0,2737684495495225.5
62.0,0.0,2707526426575444.5
63.0,0.0,2677974525280716.0
64.0,0.0,2648903431026073.5
65.0,0.0,2620302317491619.0
66.0,0.0,2592161118946803.0
67.0,0.0,2564470041595924.5
68.0,0.0,2537219547013573.5
69.0,0.0,2510400350764247.5
70.0,0.0,2484003411359316.5
71.0,0.0,2458019923355119.5
72.0,0.0,2432441306309926.0
73.0,0.0,2407259203403557.0
74.0,0.0,2382465471774725.5
75.0,0.0,2358052176999514.0
76.0,0.0,2334011584809099.0
77.0,0.0,2310336154187847.5
78.0,0.0,2287018540134079.0
79.0,0.0,2264051574334747.0
80.0,0.0,2241428272067335.2
81.0,0.0,2219141817015682.5
82.0,0.0,2197185565411119.2
83.0,0.0,2175553032228670.5
84.0,0.0,2154237893947814.0
85.0,0.0,2133233977509441.8
86.0,0.0,2112535263076618.8
87.0,0.0,2092135870230785.5
88.0,0.0,2072030064873656.0
89.0,0.0,2052212244043038.2
